LECROYWaveRunnerøP,20728,Histogram
Segments,1,SegmentSize,5000
Segment,TrigTime,TimeSinceSegment1
#1,26-May-2017 07:59:42,0                 
Time,Ampl
-4.189e-008,601
-4.188e-008,544
-4.187e-008,538
-4.186e-008,552
-4.185e-008,579
-4.184e-008,587
-4.183e-008,612
-4.182e-008,583
-4.181e-008,578
-4.18e-008,603
-4.179e-008,598
-4.178e-008,613
-4.177e-008,591
-4.176e-008,573
-4.175e-008,583
-4.174e-008,580
-4.173e-008,586
-4.172e-008,574
-4.171e-008,577
-4.17e-008,612
-4.169e-008,591
-4.168e-008,596
-4.167e-008,605
-4.166e-008,602
-4.165e-008,591
-4.164e-008,573
-4.163e-008,580
-4.162e-008,601
-4.161e-008,644
-4.16e-008,612
-4.159e-008,607
-4.158e-008,592
-4.157e-008,566
-4.156e-008,615
-4.155e-008,600
-4.154e-008,636
-4.153e-008,611
-4.152e-008,611
-4.151e-008,618
-4.15e-008,635
-4.149e-008,641
-4.148e-008,592
-4.147e-008,638
-4.146e-008,629
-4.145e-008,646
-4.144e-008,629
-4.143e-008,628
-4.142e-008,620
-4.141e-008,625
-4.14e-008,623
-4.139e-008,620
-4.138e-008,643
-4.137e-008,611
-4.136e-008,629
-4.135e-008,634
-4.134e-008,650
-4.133e-008,589
-4.132e-008,620
-4.131e-008,680
-4.13e-008,698
-4.129e-008,626
-4.128e-008,609
-4.127e-008,631
-4.126e-008,636
-4.125e-008,613
-4.124e-008,670
-4.123e-008,629
-4.122e-008,645
-4.121e-008,660
-4.12e-008,657
-4.119e-008,682
-4.118e-008,643
-4.117e-008,626
-4.116e-008,645
-4.115e-008,603
-4.114e-008,655
-4.113e-008,635
-4.112e-008,643
-4.111e-008,678
-4.11e-008,609
-4.109e-008,589
-4.108e-008,575
-4.107e-008,647
-4.106e-008,668
-4.105e-008,669
-4.104e-008,626
-4.103e-008,646
-4.102e-008,646
-4.101e-008,636
-4.1e-008,615
-4.099e-008,686
-4.098e-008,681
-4.097e-008,691
-4.096e-008,635
-4.095e-008,629
-4.094e-008,619
-4.093e-008,628
-4.092e-008,590
-4.091e-008,624
-4.09e-008,664
-4.089e-008,632
-4.088e-008,586
-4.087e-008,614
-4.086e-008,658
-4.085e-008,663
-4.084e-008,654
-4.083e-008,607
-4.082e-008,644
-4.081e-008,589
-4.08e-008,580
-4.079e-008,615
-4.078e-008,624
-4.077e-008,639
-4.076e-008,655
-4.075e-008,630
-4.074e-008,661
-4.073e-008,644
-4.072e-008,658
-4.071e-008,605
-4.07e-008,620
-4.069e-008,649
-4.068e-008,640
-4.067e-008,618
-4.066e-008,655
-4.065e-008,585
-4.064e-008,591
-4.063e-008,592
-4.062e-008,623
-4.061e-008,654
-4.06e-008,624
-4.059e-008,657
-4.058e-008,611
-4.057e-008,617
-4.056e-008,647
-4.055e-008,623
-4.054e-008,639
-4.053e-008,627
-4.052e-008,654
-4.051e-008,647
-4.05e-008,583
-4.049e-008,678
-4.048e-008,654
-4.047e-008,664
-4.046e-008,625
-4.045e-008,630
-4.044e-008,601
-4.043e-008,647
-4.042e-008,677
-4.041e-008,651
-4.04e-008,695
-4.039e-008,693
-4.038e-008,641
-4.037e-008,618
-4.036e-008,652
-4.035e-008,632
-4.034e-008,650
-4.033e-008,663
-4.032e-008,641
-4.031e-008,648
-4.03e-008,645
-4.029e-008,680
-4.028e-008,638
-4.027e-008,641
-4.026e-008,672
-4.025e-008,696
-4.024e-008,689
-4.023e-008,656
-4.022e-008,639
